f;n;t;r;value
Alón;2;22;1;0.0
Punta;2;22;1;0.0
Jamoncito;2;22;1;1095.3870967741932
Medio Muslo;2;22;1;1956.0483870967737
Entero;3;3;1;1061.9592345
Medio Pollo;3;3;1;1158.7577919816085
Medio Pollo Superior;3;3;1;1406.0815748203095
Medio Pollo Inferior;3;3;1;1236.4615804142786
Cuarto de Pollo Superior;3;3;1;1602.081548166264
Muslo Entero;3;3;1;1420.2515868531746
Pechuga Completa;3;3;1;2030.9560874661938
Ala Completa;3;3;1;877.9905719415992
Media Pechuga;3;3;1;2323.652281588379
Blanqueta;3;3;1;63.31918040473647
Alón;3;3;1;44.607290571069825
Punta;3;3;1;15.19127467666658
Jamoncito;3;3;1;1204.5739223140172
Medio Muslo;3;3;1;2066.1290322580644
Entero;3;4;1;1034.0407655
Medio Pollo;3;4;1;1131.2422080183924
Medio Pollo Superior;3;4;1;1378.9519227895653
Medio Pollo Inferior;3;4;1;1209.7991131654053
Cuarto de Pollo Superior;3;4;1;1575.677419354838
Muslo Entero;3;4;1;1394.1890523602387
Pechuga Completa;3;4;1;2005.4475771160078
Ala Completa;3;4;1;852.8783907494135
Media Pechuga;3;4;1;2298.8345089445174
Blanqueta;3;4;1;38.50140776087483
Alón;3;4;1;20.07380878036929
Punta;3;4;1;0.0
Jamoncito;3;4;1;1180.0404405233176
Medio Muslo;3;4;1;2041.1851228541573
Entero;3;5;1;1006.459234500001
Medio Pollo;3;5;1;1104.0
Medio Pollo Superior;3;5;1;1351.8222707588202
Medio Pollo Inferior;3;5;1;1183.0395965120142
Cuarto de Pollo Superior;3;5;1;1549.2732905434132
Muslo Entero;3;5;1;1368.126517867302
Pechuga Completa;3;5;1;1979.7137132065718
Ala Completa;3;5;1;827.7662095572259
Media Pechuga;3;5;1;2274.016736300654
Blanqueta;3;5;1;13.683635117012273
Alón;3;5;1;0.0
Punta;3;5;1;0.0
Jamoncito;3;5;1;1155.506958732618
Medio Muslo;3;5;1;2016.0729416619706
Entero;3;6;1;978.5407654999999
Medio Pollo;3;6;1;1076.5
Medio Pollo Superior;3;6;1;1324.692618728076
Medio Pollo Inferior;3;6;1;1156.5410486492774
Cuarto de Pollo Superior;3;6;1;1523.322580645161
Muslo Entero;3;6;1;1342.0639833743671
Pechuga Completa;3;6;1;1954.12096068363
Ala Completa;3;6;1;802.6540283650374
Media Pechuga;3;6;1;2249.1989636567932
Blanqueta;3;6;1;0.0
Alón;3;6;1;0.0
Punta;3;6;1;0.0
Jamoncito;3;6;1;1130.9734769419174
Medio Muslo;3;6;1;1991.5883486606099
Entero;3;7;1;953.0
Medio Pollo;3;7;1;1050.500000000001
Medio Pollo Superior;3;7;1;1300.0645161290322
Medio Pollo Inferior;3;7;1;1129.7815319958845
